CYCLE,Eligible_N,Original_cases,Calibrated_cases,Original prevalence (%),Calibrated prevalence (%)
1999-2000,1952,338,148,17.315573770491806,7.581967213114754
2001-2002,2206,166,194,7.524932003626474,8.794197642792383
