Model,AUROC,AUROC 95% CI,AUPRC,AUPRC 95% CI,Brier score,Brier 95% CI
Race-containing XGBoost,0.794012,0.771-0.816,0.245766,0.211-0.290,0.068413,0.062-0.075
Race-free XGBoost,0.784445,0.762-0.807,0.233085,0.199-0.274,0.069148,0.063-0.075
